question,answer,category,source_name,source_url,verified_note
MKSolar là đơn vị nào?,"MKSolar, hay Công ty Cổ phần MKS, cung cấp giải pháp điện năng lượng mặt trời cho hộ gia đình, cửa hàng và doanh nghiệp. Theo thông tin công bố, công ty tập trung vào thi công đúng kỹ thuật, vận hành ổn định và tối ưu hiệu quả đầu tư.",company_info,mksolar_home,https://mksolar.vn/,
MKSolar cung cấp dịch vụ gì?,"MKSolar cung cấp giải pháp điện mặt trời trọn gói, bao gồm khảo sát, tư vấn, thiết kế, thi công và bàn giao hoàn chỉnh cho hộ gia đình, cửa hàng và doanh nghiệp.",company_info,mksolar_home,https://mksolar.vn/,
MKSolar hỗ trợ khu vực nào?,"Theo thông tin công bố trên website, MKSolar hỗ trợ nhanh toàn miền Tây. Khách hàng vẫn nên liên hệ trực tiếp để xác nhận khả năng khảo sát ở khu vực cụ thể.",company_info,mksolar_contact,https://mksolar.vn/elements/,
Địa chỉ MKSolar ở đâu?,"Địa chỉ công bố của MKSolar là 187AA Nguyễn Văn Cừ, phường An Bình, thành phố Cần Thơ.",company_contact,mksolar_contact,https://mksolar.vn/elements/,
Hotline của MKSolar là gì?,Hotline công bố trên website MKSolar là 0919 755 866.,company_contact,mksolar_contact,https://mksolar.vn/elements/,
Email liên hệ MKSolar là gì?,Email công bố trên website MKSolar là mksolarjsc@gmail.com.,company_contact,mksolar_contact,https://mksolar.vn/elements/,
MKSolar có kinh nghiệm thực tế không?,"Website MKSolar công bố các điểm nổi bật như 7+ năm kinh nghiệm, 500+ công trình, bảo hành lên đến 5–30 năm và hỗ trợ nhanh toàn miền Tây. Đây là thông tin tự công bố từ website của công ty.",company_info,mksolar_home,https://mksolar.vn/,Thông tin tự công bố từ MKSolar.
Điện mặt trời áp mái là gì?,"Điện mặt trời áp mái là hệ thống dùng tấm pin quang điện lắp trên mái công trình để tạo điện từ ánh sáng mặt trời. Khi tư vấn cần xét nhu cầu sử dụng điện, diện tích mái, hướng nắng, bóng che và hiện trạng hệ thống điện.",solar_basic,gov_decree_135,https://chinhphu.vn/?classid=1&docid=211466&pageid=27160&typegroupid=4,
Điện mặt trời tự sản xuất tự tiêu thụ là gì?,"Đó là mô hình chủ đầu tư lắp hệ thống điện mặt trời chủ yếu để tự dùng điện tại chỗ. Theo Nghị định 135/2024/NĐ-CP, cơ chế này được Nhà nước khuyến khích phát triển cho điện mặt trời mái nhà tự sản xuất, tự tiêu thụ.",regulation,gov_decree_135,https://chinhphu.vn/?classid=1&docid=211466&pageid=27160&typegroupid=4,
Hệ hòa lưới bám tải là gì?,Hệ hòa lưới bám tải là hệ thống điện mặt trời ưu tiên cấp điện cho tải sử dụng ban ngày và không dùng pin lưu trữ. Hệ này phù hợp hơn khi phụ tải tiêu thụ điện nhiều vào ban ngày và mục tiêu chính là giảm lượng điện mua từ lưới.,system_type,mksolar_10kw_on_grid,https://mksolar.vn/product/he-thong-nang-luong-mat-troi-10kw-bam-tai/,
