title,content,source,source_name,source_url
MKSolar - thông tin tổng quan,"Công ty Cổ phần MKS, thương hiệu MKSolar, cung cấp giải pháp điện năng lượng mặt trời cho hộ gia đình, cửa hàng và doanh nghiệp. Website công bố định hướng thi công đúng kỹ thuật, vận hành ổn định, tối ưu hiệu quả đầu tư.",company_info,mksolar_home,https://mksolar.vn/
MKSolar - dịch vụ trọn gói,"MKSolar công bố giải pháp điện mặt trời trọn gói cho hộ gia đình, cửa hàng và doanh nghiệp, từ khảo sát, tư vấn, thiết kế đến thi công và bàn giao hoàn chỉnh. Đây là dữ liệu hữu ích để chatbot trả lời về quy trình tư vấn và dịch vụ của công ty.",company_service,mksolar_home,https://mksolar.vn/
MKSolar - thông tin liên hệ,"Thông tin liên hệ công bố: địa chỉ 187AA Nguyễn Văn Cừ, phường An Bình, thành phố Cần Thơ; hotline 0919 755 866; email mksolarjsc@gmail.com. Chatbot nên trình bày đây là thông tin công bố trên website và khuyến nghị người dùng kiểm tra lại khi liên hệ.",company_contact,mksolar_contact,https://mksolar.vn/elements/
MKSolar - điểm nổi bật tự công bố,"Website MKSolar công bố các điểm nổi bật gồm 7+ năm kinh nghiệm, 500+ công trình, bảo hành lên đến 5–30 năm và hỗ trợ nhanh toàn miền Tây. Vì đây là thông tin do doanh nghiệp tự công bố, chatbot nên dùng câu diễn đạt cẩn trọng như 'theo website MKSolar'.",company_info,mksolar_home,https://mksolar.vn/
MKSolar - form tư vấn,"Trang liên hệ MKSolar có các trường thông tin tư vấn như họ tên, số điện thoại, email, khu vực lắp đặt, loại công trình, nhu cầu hệ thống gồm hòa lưới, bám tải, lưu trữ hoặc chưa rõ cần tư vấn. Chatbot có thể dựa vào các trường này để hỏi thêm thông tin cần thiết.",consultation_flow,mksolar_contact,https://mksolar.vn/elements/
Hệ thống 3kW lưu trữ MKSolar,"Theo MKSolar, hệ thống 3kW lưu trữ có công suất 3kWp, loại hệ thống hybrid có lưu trữ, tấm pin Canadian hoặc JA Solar tổng công suất 3000W, inverter LuxPower SNA 5000 Hybrid, pin lưu trữ khuyến nghị khoảng 5kWh, sản lượng trung bình 10–14 kWh/ngày tùy khu vực và điều kiện nắng, diện tích mái khoảng 15–20m², bảo trì miễn phí 2 năm đầu tiên và tuổi thọ tấm pin 20–25 năm.",product_reference,mksolar_3kw_storage,https://mksolar.vn/product/he-thong-nang-luong-mat-troi-3kw-luu-tru/
Vật tư 3kW bám tải MKSolar,"Theo MKSolar, vật tư 3kW bám tải có công suất hệ thống 3kWp, inverter ThinkPower 3kW hòa lưới bám tải, tổng công suất tấm pin 3000W, loại hệ thống on-grid không lưu trữ, sản lượng điện trung bình 10–14 kWh/ngày tùy khu vực và điều kiện nắng, diện tích mái yêu cầu khoảng 15–20m².",product_reference,mksolar_3kw_on_grid_material,https://mksolar.vn/product/vat-tu-nang-luong-mat-troi-3kw-bam-tai-2/
Vật tư 5kW bám tải MKSolar,"Theo MKSolar, vật tư 5kW bám tải có công suất hệ thống 5kWp, inverter Deye SUN 5K hòa lưới bám tải, tổng công suất tấm pin 5000W, loại hệ thống on-grid không lưu trữ, sản lượng điện trung bình 18–25 kWh/ngày tùy khu vực và điều kiện nắng, diện tích mái yêu cầu khoảng 25–35m².",product_reference,mksolar_5kw_on_grid_material,https://mksolar.vn/product/vat-tu-nang-luong-mat-troi-3kw-bam-tai/
Hệ thống 5kW lưu trữ cao cấp MKSolar,"Theo MKSolar, hệ thống 5kW lưu trữ cao cấp có công suất 5kWp, loại hệ thống hybrid lưu trữ, tấm pin Canadian hoặc JA Solar tổng công suất 5000W, inverter Hybrid Deye 5kW, pin lưu trữ khuyến nghị khoảng 10kWh, sản lượng trung bình 18–25 kWh/ngày tùy khu vực và điều kiện nắng, diện tích mái khoảng 25–35m², bảo trì miễn phí 2 năm đầu tiên và tuổi thọ tấm pin 20–25 năm.",product_reference,mksolar_5kw_storage,https://mksolar.vn/product/he-thong-nang-luong-mat-troi-5kw-luu-tru-cao-cap/
Vật tư 5kW lưu trữ MKSolar,"Trang vật tư 5kW lưu trữ của MKSolar lưu ý gói vật tư không bao gồm khảo sát, thiết kế hệ thống, nhân công lắp đặt, bảo trì định kỳ và pin lưu trữ. Pin lưu trữ được đề xuất khoảng 10kWh để tối ưu hiệu quả cho hệ 5kW và cần chọn pin tương thích với inverter Hybrid Deye SUN 5K.",product_reference,mksolar_5kw_storage_material,https://mksolar.vn/product/vat-tu-nang-luong-mat-troi-5kw-luu-tru/
Hệ thống 10kW bám tải MKSolar,"Theo MKSolar, hệ thống 10kW bám tải có công suất 10kWp, loại hệ thống hòa lưới bám tải không lưu trữ, tấm pin Canadian hoặc JA Solar tổng công suất 10000W, inverter Deye SUN 8K hòa lưới bám tải, sản lượng trung bình 35–45 kWh/ngày tùy khu vực và điều kiện nắng, diện tích mái khoảng 50–70m², bảo trì miễn phí 2 năm đầu tiên và tuổi thọ tấm pin 20–25 năm.",product_reference,mksolar_10kw_on_grid,https://mksolar.vn/product/he-thong-nang-luong-mat-troi-10kw-bam-tai/
Đối tượng phù hợp hệ 10kW bám tải,"Trang MKSolar mô tả hệ thống điện năng lượng mặt trời bám tải 10kW là giải pháp dành cho gia đình có mức tiền điện từ 2.500.000–4.000.000 VNĐ/tháng và sử dụng điện nhiều vào ban ngày. Đây là thông tin tham khảo cho tư vấn sơ bộ, không thay thế khảo sát.",product_reference,mksolar_10kw_on_grid,https://mksolar.vn/product/he-thong-nang-luong-mat-troi-10kw-bam-tai/
Hệ thống 10kW lưu trữ 1 pha MKSolar,"Theo MKSolar, hệ thống 10kW lưu trữ 1 pha có công suất 10kWp, loại hybrid lưu trữ 1 pha, tấm pin Canadian hoặc JA Solar tổng công suất 10000W, inverter Hybrid Deye SUN 8K một pha, pin lưu trữ khuyến nghị 15–20kWh, sản lượng trung bình 35–45 kWh/ngày, diện tích mái khoảng 50–70m², bảo trì miễn phí 2 năm đầu tiên và tuổi thọ tấm pin 20–25 năm.",product_reference,mksolar_10kw_storage,https://mksolar.vn/product/he-thong-nang-luong-mat-troi-10kw-luu-tru-1-pha/
Nguyên lý vận hành hệ 10kW hybrid lưu trữ,"Theo mô tả vật tư 10kW lưu trữ MKSolar, ban ngày điện mặt trời ưu tiên cấp cho tải và sạc vào pin lưu trữ; ban đêm điện được lấy từ pin đã tích trữ; khi cúp điện hệ thống tự động chuyển sang dùng pin để cấp điện cho tải ưu tiên; khi pin gần hết có thể sử dụng điện lưới nếu có để đảm bảo liên tục.",product_reference,mksolar_10kw_storage_material,https://mksolar.vn/product/vat-tu-nang-luong-mat-troi-10kw-luu-tru/
Danh mục gói trọn gói MKSolar,"Danh mục trọn gói lắp đặt trên website MKSolar liệt kê nhiều cấu hình như 3kW bám tải, 3kW lưu trữ, 5kW bám tải, 5kW lưu trữ, 10kW bám tải, 10kW lưu trữ và 15kW lưu trữ. Giá hiển thị trên website có thể thay đổi, vì vậy chatbot không nên chốt giá chính thức.",product_reference,mksolar_shop,https://mksolar.vn/product-category/tron-goi-lap-dat-nang-luong-mat-troi/
Danh mục combo vật tư MKSolar,"Danh mục combo vật tư MKSolar nêu công ty hỗ trợ khảo sát, tư vấn giải pháp và báo giá hệ thống điện mặt trời phù hợp cho hộ gia đình, cửa hàng và doanh nghiệp. Chatbot nên dùng dữ liệu này để hướng người dùng liên hệ khảo sát khi cần báo giá.",product_reference,mksolar_materials,https://mksolar.vn/product-category/combo-vat-tu-nang-luong-mat-troi/
